Question,Answer
"Tôi có đĩa DVD phim đó ở nhà, nếu bạn muốn tới nhà tôi xem.","Chắc chắn rồi, đi thôi!"
Bộ phim nào bạn thích xem nhất?,"Tôi phải nói rằng, bộ phim tôi thích nhất là Superbad."
"Tôi phải nói rằng, bộ phim tôi thích nhất là Superbad.",Thật vậy sao? Tại sao vậy?
Thật vậy sao? Tại sao vậy?,"Thật lòng mà nói, đó là một trong những bộ phim hài nhất mà tôi từng xem trong thời gian dài."
"Thật lòng mà nói, đó là một trong những bộ phim hài nhất mà tôi từng xem trong thời gian dài.",Bạn nói đúng. Bộ phim đó hài không chịu được.
Bạn nói đúng. Bộ phim đó hài không chịu được.,Tôi không nghĩ bạn đã xem bộ đó.
Tôi không nghĩ bạn đã xem bộ đó.,Tôi đã đi xem ngay ngày đầu tiên nó ra rạp.
Tôi đã đi xem ngay ngày đầu tiên nó ra rạp.,Tôi đã cười suốt cả bộ phim.
Tôi đã cười suốt cả bộ phim.,Tôi cũng không thể nhịn cười được.
Tôi cũng không thể nhịn cười được.,Tôi cũng vậy.
Tôi cũng vậy.,Tôi đã mua đĩa phim đó. Bạn có muốn tới nhà tôi xem không?
Tôi đã mua đĩa phim đó. Bạn có muốn tới nhà tôi xem không?,Tất nhiên rồi.
"Trong tất cả các bộ phim bạn đã xem, bộ nào bạn thích nhất?",Tôi nghĩ Superbad là bộ phim hay nhất từ trước tới giờ.
Tôi nghĩ Superbad là bộ phim hay nhất từ trước tới giờ.,"Bạn nghĩ vậy à, vì sao?"
"Bạn nghĩ vậy à, vì sao?","À, Superbad thực sự rất hài hước."
"À, Superbad thực sự rất hài hước.","Bạn nói thật đấy, tôi thấy bộ phim đó hài kinh khủng luôn."
"Bạn nói thật đấy, tôi thấy bộ phim đó hài kinh khủng luôn.",Tôi không biết bạn cũng đã xem Superbad.
Tôi không biết bạn cũng đã xem Superbad.,Tôi đã xếp hàng dài xem ngay ngày đầu tiên phim công chiếu.
Tôi đã xếp hàng dài xem ngay ngày đầu tiên phim công chiếu.,Tôi cười không ngừng suốt cả bộ phim.
Tôi cười không ngừng suốt cả bộ phim.,Tôi đã cười đến đau cả bụng.
"i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.;;;;;;;;;;;;;Tôi đã cười đến đau cả bụng.",Đó chính xác là cảm giác của tôi.
"i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.;;;;;;;;;;;;;Đó chính xác là cảm giác của tôi.","Tôi đã mua phim đó khi nó ra DVD, bạn có muốn tới nhà tôi không?"
Bạn thích nghe thể loại nhạc nào?,Tôi thích nghe nhiều thể loại nhạc khác nhau.
Tôi thích nghe nhiều thể loại nhạc khác nhau.,Ví dụ như thể loại nào?
Ví dụ như thể loại nào?,Tôi thích rock và R&B.
Tôi thích rock và R&B.,Tại sao vậy?
Tại sao vậy?,Tôi thích các loại nhạc có sự dụng hợp lý.
Tôi thích các loại nhạc có sự dụng hợp lý.,Đó là một lý do hay để yêu thích một điều gì đó.
Đó là một lý do hay để yêu thích một điều gì đó.,"Vâng, tôi cũng nghĩ vậy."
Bạn thích nghe thể loại nhạc nào?,Tôi thích nghe mọi thể loại nhạc.
Tôi thích nghe mọi thể loại nhạc.,Thể loại nào?
Thể loại nào?,Tôi thích nghe rock và R&B.
Tôi thích nghe rock và R&B.,Điều gì khiến bạn thích thể loại nhạc đó?
Điều gì khiến bạn thích thể loại nhạc đó?,Tôi thích sự đa dạng trong các loại nhạc mà họ sử dụng.
Tôi thích sự đa dạng trong các loại nhạc mà họ sử dụng.,Đó là một lý do hoàn hảo để thích một thể loại nhạc nào đó.
"""""""Tôi thích các loại nhạc có mà họ dùng.""""","""""Tôi nghĩ đó là một lý do tuyệt vời để thích một điều gì đó."""""""
"""Tôi nghĩ đó là một lý do tuyệt vời để thích một điều gì đó.","""""Cảm ơn, tôi cũng cảm thấy vậy."""""""
"""Thể loại nhạc yêu thích của bạn là gì?","""""Tôi nghe nhiều thể loại nhạc khác nhau."""""""
"""Tôi nghe nhiều thể loại nhạc khác nhau.","""""Thể loại nào?"""""""
"""Thể loại nào?","""""Tôi thích nghe cả rock và R&B."""""""
"""Tôi thích nghe cả rock và R&B.","""""Điều gì khiến bạn thích thể loại nhạc đó?"""""""
"""Điều gì khiến bạn thích thể loại nhạc đó?","""""Tôi thích sự đa dạng trong các loại nhạc mà họ sử dụng."""""""
"""Tôi thích sự đa dạng trong các loại nhạc mà họ sử dụng.","""""Đó là một lý do hoàn hảo để thích một thể loại nhạc nào đó."""""""
"""Bạn có đi xem trận bóng rổ vào thứ Sáu không?","""""Không, tôi không thể đi được."""""""
"""Không, tôi không thể đi được.","""""Bạn đã bù lỡ một trận đấu rất hay đấy."""""""
"""Bạn đã bù lỡ một trận đấu rất hay đấy.","""""Ừ, thật sao? Ai thắng vậy?"""""""
"""Ừ, thật sao? Ai thắng vậy?","""""Đội mình thắng. Họ chơi rất tốt."""""""
"""Đội mình thắng. Họ chơi rất tốt.","""""Tiếc quá, tôi bị mất. Tôi thật sự muốn đi."""""""
"""Tiếc quá, tôi bị mất. Tôi thật sự muốn đi.","""""Ừ, bạn nên đi. Trận đó rất hấp dẫn."""""""
"""Ừ, bạn nên đi. Trận đó rất hấp dẫn.","""""Vậy tỉ số là bao nhiêu?"""""""
"""Vậy tỉ số là bao nhiêu?","""""Tỉ số là 101-98."""""""
"""Tỉ số là 101-98.","""""Trời, sát nút quá."""""""
"""Trời, sát nút quá.","""""Đó chính là điều làm trận đấu tuyệt vời."""""""
"""Đó chính là điều làm trận đấu tuyệt vời.","""""Tôi sẽ chắc chắn tham dự trận tới."""""""
"""Bạn có đi xem trận bóng rổ vào thứ Sáu không?","""""Tôi không thể đi được."""""""
"""Tôi không thể đi được.","""""Bạn nên đến đó. Trận đấu rất gay cấn."""""""
"""Bạn nên đến đó. Trận đấu rất gay cấn.","""""Vậy à? Ai thắng vậy?"""""""
"""Vậy à? Ai thắng vậy?","""""Đội mình đã chiến thắng."""""""
"""Đội mình đã chiến thắng.","""""Tôi được hôm đó tôi rảnh. Giờ tôi khá bực vì không đi được."""""""
"""Tôi được hôm đó tôi rảnh. Giờ tôi khá bực vì không đi được.","""""Đó là một trận đấu tuyệt vời."""""""
"""Đó là một trận đấu tuyệt vời.","""""Tỉ số cuối trận là bao nhiêu vậy?"""""""
"""Tỉ số cuối trận là bao nhiêu vậy?","""""Đội mình thắng 101-98."""""""
"""Đội mình thắng 101-98.","""""Nghe có vẻ là một trận đấu sát nút."""""""
"""Nghe có vẻ là một trận đấu sát nút.","""""Chắc hẳn đó là một trận đấu rất sát nút."""""""
"""Chắc hẳn đó là một trận đấu rất sát nút.","""""Thật vậy. Bạn nên đi mọi khi có."""""""
"""Cuối tuần này bạn làm gì?","""""Tôi sẽ đi xem phim với một người bạn. Còn bạn thì sao?"""""""
"""Tôi sẽ đi xem phim với một người bạn. Còn bạn thì sao?","""""Tôi chưa chắc nữa."""""""
"""Tôi chưa chắc nữa.","""""Vậy, bạn có muốn đi xem phim với tôi không?"""""""
"""Vậy, bạn có muốn đi xem phim với tôi không?","""""Bạn định xem phim gì vậy?"""""""
"""Bạn định xem phim gì vậy?","""""Tôi cũng chưa chắc. Có bộ phim nào bạn muốn xem không?"""""""
"""Tôi cũng chưa chắc. Có bộ phim nào bạn muốn xem không?","""""Tôi không nghĩ ra bộ nào cả."""""""
"""Tôi không nghĩ ra bộ nào cả.","""""Vậy, bạn có muốn đi không?"""""""
"""Vậy, bạn có muốn đi không?","""""Không, cảm ơn, chắc để lần khác nhé."""""""
"""Không, cảm ơn, chắc để lần khác nhé.","""""Được thôi, nghe cũng ổn."""""""
"""Bạn có biết bạn sẽ làm gì vào cuối tuần này không?","""""Tôi sẽ đi xem phim với một người bạn. Còn bạn thì sao?"""""""
"""Tôi sẽ đi xem phim với một người bạn. Còn bạn thì sao?","""""Tôi không biết nữa."""""""
"""Tôi không biết nữa.","""""Bạn có muốn đi xem phim với tôi và bạn tôi không?"""""""
"""Bạn có muốn đi xem phim với tôi và bạn tôi không?","""""Bạn có biết bạn sẽ xem phim gì chưa?"""""""
"""Bạn có biết bạn sẽ xem phim gì chưa?","""""Tôi cũng không chắc, có bộ phim nào bạn muốn xem không?"""""""
"""Tôi cũng không chắc, có bộ phim nào bạn muốn xem không?","""""Không có bộ nào tôi nghĩ tới cả."""""""
"""Không có bộ nào tôi nghĩ tới cả.","""""Thế, bạn có muốn đi không?"""""""
"""""""Tôi không nghĩ ra bộ nào cả.""""","""""Vậy, bạn có muốn đi không?"""""""
"""Vậy, bạn có muốn đi không?","""""Không, cảm ơn, chắc để lần khác nhé."""""""
"""Không, cảm ơn, chắc để lần khác nhé.","""""Được thôi, nghe cũng ổn."""""""
"""Bạn có biết bạn sẽ làm gì vào cuối tuần này không?","""""Tôi sẽ đi xem phim với một người bạn. Còn bạn thì sao?"""""""
"""Tôi sẽ đi xem phim với một người bạn. Còn bạn thì sao?","""""Tôi không biết nữa."""""""
"""Tôi không biết nữa.","""""Bạn có muốn đi xem phim với tôi và bạn tôi không?"""""""
"""Bạn có muốn đi xem phim với tôi và bạn tôi không?","""""Bạn có biết bạn sẽ xem phim gì chưa?"""""""
"""Bạn có biết bạn sẽ xem phim gì chưa?","""""Tôi cũng không chắc, có bộ phim nào bạn muốn xem không?"""""""
"""Tôi cũng không chắc, có bộ phim nào bạn muốn xem không?","""""Không có bộ nào tôi nghĩ tới cả."""""""
"""Không có bộ nào tôi nghĩ tới cả.","""""Vậy, bạn có muốn đi không?"""""""
"""Vậy, bạn có muốn đi không?","""""Cảm ơn đã mời, nhưng tôi nghĩ tôi sẽ từ chối."""""""
"""Cảm ơn đã mời, nhưng tôi nghĩ tôi sẽ từ chối.","""""Được thôi, lần khác vậy."""""""
"""Bạn có ý tưởng gì cho cuối tuần này không?","""""Tôi sẽ đi rạp phim với bạn tôi. Còn bạn thì sao?"""""""
"""Tôi sẽ đi rạp phim với bạn tôi. Còn bạn thì sao?","""""Tôi vẫn chưa chắc nữa."""""""
"""Tôi vẫn chưa chắc nữa.","""""Bạn có muốn đi xem phim với tôi và bạn tôi không?"""""""
"""Bạn có muốn đi xem phim với tôi và bạn tôi không?","""""Bạn và bạn bạn định xem phim gì vậy?"""""""
"""Bạn và bạn bạn định xem phim gì vậy?","""""Cũng chưa chắc. Có bộ phim nào bạn thấy thích không?"""""""
"""Cũng chưa chắc. Có bộ phim nào bạn thấy thích không?","""""Không nghĩ ra bộ phim nào hay cả."""""""
"""Không nghĩ ra bộ phim nào hay cả.","""""Bạn đã quyết định là có đi không?"""""""
"""Bạn đã quyết định là có đi không?","""""Không, cảm ơn. Có lẽ lần khác."""""""
"""Bạn có đi học hôm nay không?","""""Có chứ, tôi đã đến trường. Còn bạn?"""""""
"""Có chứ, tôi đã đến trường. Còn bạn?","""""Không, tôi không đi, tôi bị bệnh."""""""
"""Không, tôi không đi, tôi bị bệnh.","""""Tiếc thật. Bạn có muốn tôi đưa cho bạn bài tập tiếng Anh không?"""""""
"""Tiếc thật. Bạn có muốn tôi đưa cho bạn bài tập tiếng Anh không?","""""Vậy thì tốt quá, cảm ơn bạn."""""""
"""Vậy thì tốt quá, cảm ơn bạn.","""""Không có gì, bạn cứ tự nhiên."""""""
"""Không có gì, bạn cứ tự nhiên.","""""Khi nào bạn ốm, tôi cũng sẽ lấy bài tập cho bạn."""""""
"""Khi nào bạn ốm, tôi cũng sẽ lấy bài tập cho bạn.","""""Cảm ơn bạn. Hy vọng gặp lại bạn ở trường ngày mai."""""""
"""Bạn có đi học hôm nay không?","""""Tôi đã đến trường hôm nay. Còn bạn thì sao?"""""""
"""Tôi đã đến trường hôm nay. Còn bạn thì sao?","""""Tôi không thể đến trường hôm nay, tôi bị bệnh."""""""
"""Tôi không thể đến trường hôm nay, tôi bị bệnh.","""""Thật tiếc quá. Tôi sẵn sàng đưa cho bạn bài tập môn tiếng Anh."""""""
"""Thật tiếc quá. Tôi sẵn sàng đưa cho bạn bài tập môn tiếng Anh.","""""Cảm ơn bạn rất nhiều, bạn thật tuyệt vời."""""""
"""Cảm ơn bạn rất nhiều, bạn thật tuyệt vời.","""""Không cần khách sáo."""""""
"""Không cần khách sáo.","""""Khi bạn khỏi ốm, tôi cũng sẽ đưa cho bạn bài tập tiếng Anh."""""""
"""Bạn có nghe tin gì chưa?","""""Chuyện gì vậy?"""""""
"""Chuyện gì vậy?","""""Chị họ của chúng ta đã cưới và sinh em bé tuần trước."""""""
"""Chị họ của chúng ta đã cưới và sinh em bé tuần trước.","""""Thật sao? Sao không ai nói với tôi?"""""""
"""Thật sao? Sao không ai nói với tôi?","""""Tôi tưởng ai đó đã báo cho bạn rồi chứ."""""""
"""Tôi tưởng ai đó đã báo cho bạn rồi chứ.","""""Không, tôi hoàn toàn không biết gì cả."""""""
"""Không, tôi hoàn toàn không biết gì cả.","""""Chị ấy đã sinh rồi, em bé nặng 3.8 kg."""""""
"""Chà, cô ấy đã làm được, em bé của cô ấy nặng 3.8 kg.","""""Ôi trời ơi, tuyệt quá!"""""""
"""Ôi trời ơi, tuyệt quá!","""""Bạn có định đi thăm cô ấy và em bé không?"""""""
"""Bạn có định đi thăm cô ấy và em bé không?","""""Tôi nghĩ là tôi sẽ đi."""""""
"""Tôi nghĩ là tôi sẽ đi.","""""Tốt quá! Tôi chỉ muốn báo cho bạn biết thôi."""""""
"""Tốt quá! Tôi chỉ muốn báo cho bạn biết thôi.","""""Cảm ơn bạn đã nói cho tôi biết."""""""
Have you heard what happened?,Nghe chuyện gì vậy?
"Vâng, cô ấy đã sinh rồi, em bé nặng 8 pound 6 ounce.","Ôi trời ơi, tuyệt quá!"
"Ôi trời ơi, tuyệt quá!",Bạn có định đi thăm cô ấy và em bé không?
Bạn có định đi thăm cô ấy và em bé không?,Tôi nghĩ là tôi có thể sẽ đi.
Tôi nghĩ là tôi có thể sẽ đi.,Tốt! Tôi chỉ muốn cho bạn biết thôi.
Tốt! Tôi chỉ muốn cho bạn biết thôi.,Cảm ơn vì đã nói với tôi.
Bạn đã nghe chuyện gì chưa?,Nghe gì?
Nghe gì?,Debrah đã sinh em bé rồi.
Debrah đã sinh em bé rồi.,Tôi không biết điều đó.
Tôi không biết điều đó.,Tôi tưởng bạn biết rồi.
Tôi tưởng bạn biết rồi.,Tôi thật sự không biết.
Tôi thật sự không biết.,Em bé nặng 8 pound 6 ounce.
Em bé nặng 8 pound 6 ounce.,Thật vui khi nghe vậy.
Thật vui khi nghe vậy.,Bạn sẽ đi thăm họ chứ?
Bạn sẽ đi thăm họ chứ?,Tất nhiên rồi.
Tất nhiên rồi.,Tôi chỉ muốn báo tin vui cho bạn thôi.
Tôi chỉ muốn báo tin vui cho bạn thôi.,Cảm ơn vì đã báo cho tôi biết.
Bạn đã nghe tin chưa?,Tôi chưa nghe gì cả.
Tôi chưa nghe gì cả.,Debrah đã sinh em bé tuần trước.
Debrah đã sinh em bé tuần trước.,Không ai nói với tôi cả.
Không ai nói với tôi cả.,Tôi tưởng bạn đã nghe rồi.
Tôi tưởng bạn đã nghe rồi.,Tôi thực sự không được báo gì.
Tôi thực sự không được báo gì.,"Cô bé nặng 8 pound 6 ounce, rất dễ thương."
"Cô bé nặng 8 pound 6 ounce, rất dễ thương.","Ôi, thật là thú vị."
"Ôi, thật là thú vị.","Tôi biết, bạn nên đi thăm cô ấy và em bé đi."
"Tôi biết, bạn nên đi thăm cô ấy và em bé đi.",Tất nhiên rồi.
Tất nhiên rồi.,Tôi chỉ muốn cho bạn biết chuyện đó.
Bạn có đi học hôm nay không?,Tất nhiên. Còn bạn thì sao?
Tất nhiên. Còn bạn thì sao?,"Tôi không muốn đi, nên tôi đã không đi."
"Tôi không muốn đi, nên tôi đã không đi.","Buồn thật, nhưng bạn có đi xem phim gần đây không?"
"Buồn thật, nhưng bạn có đi xem phim gần đây không?",Đổi chủ đề rồi đấy.
Đổi chủ đề rồi đấy.,"Tôi nghiêm túc đấy, bạn có đi không?"
"Tôi nghiêm túc đấy, bạn có đi không?","Không, tôi chưa đi. Sao vậy?"
"Không, tôi chưa đi. Sao vậy?",Tôi thực sự muốn đi xem phim cuối tuần này.
Tôi thực sự muốn đi xem phim cuối tuần này.,Vậy thì đi thôi.
Vậy thì đi thôi.,Tôi thực sự không muốn đi một mình.
Tôi thực sự không muốn đi một mình.,"Dù sao thì, bạn có định đi học ngày mai không?"
"Dù sao thì, bạn có định đi học ngày mai không?","Không, tôi nghĩ tôi sẽ đi xem phim."
Bạn có đi học hôm nay không?,Tôi luôn đi học. Bạn thì sao?
Tôi luôn đi học. Bạn thì sao?,"Không, tôi không đi học."
"Không, tôi không đi học.","Bạn nên đi, nhưng bạn có xem phim nào gần đây không?"
"Bạn nên đi, nhưng bạn có xem phim nào gần đây không?",Thật lạ khi bạn đổi chủ đề vậy.
Đó là một sự thay đổi chủ đề kỳ lạ.,"Có thể vậy, nhưng hãy trả lời câu hỏi đi."
"Có thể vậy, nhưng hãy trả lời câu hỏi đi.","Không, dạo này tôi chưa xem phim."
"Không, dạo này tôi chưa xem phim.",Tôi muốn đi xem phim cuối tuần này.
Tôi muốn đi xem phim cuối tuần này.,Vậy thì điều gì ngăn bạn lại?
Vậy thì điều gì ngăn bạn lại?,Tôi không muốn đi một mình.
Tôi không muốn đi một mình.,"Vậy, bạn có đi học ngày mai không?"
"Vậy, bạn có đi học ngày mai không?","Không, tôi muốn đi xem phim thay vì đi học."
Bạn có thèm đi học hôm nay không?,"Có, tôi đã đi. Còn bạn thì sao?"
"Có, tôi đã đi. Còn bạn thì sao?","Không, tôi không muốn đi."
"Không, tôi không muốn đi.","Hay đấy, nhưng bạn có đi xem phim gần đây chưa?"
"Hay đấy, nhưng bạn có đi xem phim gần đây chưa?","Chưa, nhưng mà đúng là đổi chủ đề bất ngờ thật."
"Chưa, nhưng mà đúng là đổi chủ đề bất ngờ thật.","Có thể bất ngờ, nhưng bạn đã đi chưa?"
"Có thể bất ngờ, nhưng bạn đã đi chưa?",Gần đây tôi chưa đi.
Gần đây tôi chưa đi.,Tôi rất muốn đi xem phim cuối tuần này.
Tôi rất muốn đi xem phim cuối tuần này.,Vậy thì tại sao bạn không đi luôn?
Vậy thì tại sao bạn không đi luôn?,Tôi không muốn xem phim một mình.
Tôi không muốn xem phim một mình.,"Được rồi, vậy bạn có định đi học ngày mai không?"
Cảm ơn vì đã đến thăm tôi hôm nay.,Không có gì đâu. Tôi thực sự rất nhớ bạn.
Không có gì đâu. Tôi thực sự rất nhớ bạn.,Tôi cũng nhớ bạn nữa.
Tôi cũng nhớ bạn nữa.,Vậy tại sao bạn không thử đến thăm tôi?
Vậy tại sao bạn không thử đến thăm tôi?,Tôi thực sự rất bận.
Tôi thực sự rất bận.,Bận gì vậy?
Bận gì vậy?,Đi làm.
Đi làm.,"Tôi đã định đến thăm bạn sớm hơn, nhưng tôi cũng bận quá."
"Tôi đã định đến thăm bạn sớm hơn, nhưng tôi cũng bận quá.",Bạn đã làm gì vậy?
Bạn đã làm gì vậy?,Tôi cũng đi làm.
Tôi cũng đi làm.,"Dù sao đi nữa, tôi rất vui vì bạn đã đến thăm tôi."
"Dù sao đi nữa, tôi rất vui vì bạn đã đến thăm tôi.",Tôi cũng vậy.
Tôi thực sự rất vui vì bạn đã đến thăm tôi.,Tôi phải đến chứ. Tôi nhớ bạn nhiều lắm.
Tôi phải đến chứ. Tôi nhớ bạn nhiều lắm.,Tôi cũng nhớ bạn.
Tôi cũng nhớ bạn.,Vậy tại sao bạn chưa đến thăm tôi?
Vậy tại sao bạn chưa đến thăm tôi?,Thực ra tôi bận lắm.
Thực ra tôi bận lắm.,Bạn đã làm gì vậy?
Bạn đã làm gì vậy?,Tôi chỉ là bận đi làm rất nhiều.
Tôi chỉ là bận đi làm rất nhiều.,Tôi cũng bận nữa.
Tôi cũng bận nữa.,Kể tôi nghe bạn đã làm gì nào.
Kể tôi nghe bạn đã làm gì nào.,"Thật ra thì, tôi cũng đang đi làm."
"Thật ra thì, tôi cũng đang đi làm.","Dù sao thì, tôi cũng rất vui vì bạn đã đến."
"Dù sao thì, tôi cũng rất vui vì bạn đã đến.",Tôi cũng vậy.
Tôi thực sự rất vui vì bạn đã đến thăm tôi.,Tôi thật sự nhớ bạn rất nhiều.
Tôi thật sự nhớ bạn rất nhiều.,Tôi nhớ bạn phát điên luôn.
Tôi nhớ bạn phát điên luôn.,Tôi không hiểu sao bạn chưa đến thăm tôi.
Tôi không hiểu sao bạn chưa đến thăm tôi.,Dạo này tôi khá bận.
Dạo này tôi khá bận.,Kể tôi nghe bạn đã làm gì đi.
Kể tôi nghe bạn đã làm gì đi.,Gần đây tôi thực sự làm việc rất nhiều.
Gần đây tôi thực sự làm việc rất nhiều.,Tôi cũng bận rộn lắm.
Tôi cũng bận rộn lắm.,Vậy bạn đã làm gì?
Vậy bạn đã làm gì?,Tôi chỉ toàn làm việc thôi.
Tôi chỉ toàn làm việc thôi.,"Dù sao thì, tôi cũng rất vui vì bạn đã đến thăm tôi."
"Này, bạn có nghe về bữa tiệc của Jessica cuối tuần này không?","Có, nhưng tôi vẫn đang đợi thiệp mời."
"Có, nhưng tôi vẫn đang đợi thiệp mời.",Thật sao? Cô ấy đã đưa thiệp cho tôi hôm nay rồi.
Thật sao? Cô ấy đã đưa thiệp cho tôi hôm nay rồi.,Chắc cô ấy sẽ đưa thiệp cho tôi sau trong hôm nay.
Chắc cô ấy sẽ đưa thiệp cho tôi sau trong hôm nay.,"Ừ, vậy bạn định tham dự không?"
"Ừ, vậy bạn định tham dự không?",Tôi nghĩ vậy. Nghe có vẻ vui lắm.
Tôi nghĩ vậy. Nghe có vẻ vui lắm.,"Thật đấy, tôi cũng nóng lòng quá."
"Thật đấy, tôi cũng nóng lòng quá.",Bữa tiệc bắt đầu lúc mấy giờ vậy?
Bữa tiệc bắt đầu lúc mấy giờ vậy?,Bắt đầu lúc 8 giờ.
Bắt đầu lúc 8 giờ.,"À, vậy cô ấy đã gửi thiệp cho bao nhiêu người rồi?"
"À, vậy cô ấy đã gửi thiệp cho bao nhiêu người rồi?","Tôi không chắc, nhưng tôi nghĩ cô ấy chưa gửi cho nhiều người lắm."
"Tôi không chắc, nhưng tôi nghĩ cô ấy chưa gửi cho nhiều người lắm.",Hy vọng cô ấy sẽ đưa thiệp cho tôi trong hôm nay.
Bạn có nghe về bữa tiệc của Jessica vào thứ Bảy chưa?,"Tôi có nghe, nhưng tôi vẫn đang đợi thiệp mời."
"Tôi có nghe, nhưng tôi vẫn đang đợi thiệp mời.",Thật à? Tôi nhận được thiệp từ cô ấy sáng nay rồi.
Thật à? Tôi nhận được thiệp từ cô ấy sáng nay rồi.,Tôi đoán cô ấy sẽ đưa thiệp cho tôi hôm nay hoặc ngày mai.
Tôi đoán cô ấy sẽ đưa thiệp cho tôi hôm nay hoặc ngày mai.,"Chắc vậy, bạn có định tham gia bữa tiệc không?"
"Chắc vậy, bạn có định tham gia bữa tiệc không?",Tôi muốn đi. Tôi nghe nói sẽ rất vui.
Tôi muốn đi. Tôi nghe nói sẽ rất vui.,"Tôi biết mà, nghe có vẻ tuyệt lắm."
"Tôi biết mà, nghe có vẻ tuyệt lắm.","À, vậy bữa tiệc bắt đầu lúc mấy giờ?"
"À, vậy bữa tiệc bắt đầu lúc mấy giờ?",Nghe nói khoảng 8 giờ.
Nghe nói khoảng 8 giờ.,Cô ấy đã gửi bao nhiêu thiệp mời rồi?
Cô ấy đã gửi bao nhiêu thiệp mời rồi?,"Tôi thực sự không biết, nhưng tôi nghĩ cô ấy chưa gửi nhiều đâu."
"Tôi thực sự không biết, nhưng tôi nghĩ cô ấy chưa phát nhiều thiệp mời đâu.","Tôi thật sự muốn đi, nên hy vọng cô ấy sẽ đưa thiệp cho tôi sớm."
Có ai nói với bạn về bữa tiệc của Jessica sắp tới chưa?,Tôi nghe rồi. Tôi chỉ đang chờ thiệp mời thôi.
Tôi nghe rồi. Tôi chỉ đang chờ thiệp mời thôi.,Thế à? Tôi nhận thiệp từ cô ấy lúc nãy rồi.
Thế à? Tôi nhận thiệp từ cô ấy lúc nãy rồi.,Tôi nghĩ cô ấy sẽ đưa thiệp cho tôi hôm nay.
Tôi nghĩ cô ấy sẽ đưa thiệp cho tôi hôm nay.,Bạn có định đi không?
Bạn có định đi không?,"Có chứ, nghe nói đây sẽ là bữa tiệc tuyệt nhất trong năm."
"Có chứ, nghe nói đây sẽ là bữa tiệc tuyệt nhất trong năm.","Chính xác, chắc chắn sẽ vui lắm."
"Chính xác, chắc chắn sẽ vui lắm.",Chính xác thì mấy giờ tiệc bắt đầu?
Chính xác thì mấy giờ tiệc bắt đầu?,Thiệp ghi là 8 giờ tối.
Thiệp ghi là 8 giờ tối.,Cô ấy đã phát nhiều thiệp chưa?
Cô ấy đã phát nhiều thiệp chưa?,"Tôi không biết, nhưng có vẻ chưa phát nhiều lắm."
"Này, có chuyện gì vậy?",Không có gì đặc biệt.
Không có gì đặc biệt.,Tôi sẽ tổ chức một bữa tiệc vào thứ Sáu.
Tôi sẽ tổ chức một bữa tiệc vào thứ Sáu.,Tôi không biết chuyện đó.
Tôi không biết chuyện đó.,Bạn không biết à?
Bạn không biết à?,Không ai nói với tôi gì về bữa tiệc của bạn cả.
Không ai nói với tôi gì về bữa tiệc của bạn cả.,Bạn có muốn đến không?
Bạn có muốn đến không?,Bắt đầu lúc mấy giờ?
Bắt đầu lúc mấy giờ?,Lúc 8 giờ tối.
Lúc 8 giờ tối.,Tôi sẽ đến.
Tôi sẽ đến.,Tôi nhất định phải thấy bạn ở đó đấy.
Tôi nhất định phải thấy bạn ở đó đấy.,Tất nhiên rồi.
"""""""""""mi"""""""" là viết tắt của chữ lót., """"mm","dd/yy"""" có nghĩa là gì?"""
"""""""""""mm","dd/yy"""""""" có nghĩa là gì?, Điều đó có nghĩa là tháng/ngày/năm. sử dụng số."""
Điều đó có nghĩa là tháng,"ngày/năm. sử dụng số., Tôi không hiểu."
"Tôi không hiểu., Ví dụ, nếu ngày sinh của bạn là ngày 12 tháng 1 năm 1987, hãy viết 01",12/87.
"Ví dụ, nếu ngày sinh của bạn là ngày 12 tháng 1 năm 1987, hãy viết 01","12/87., Ôi. Thật đơn giản."
họ không tin chúng tôi?,họ phải chứng kiến ​​điều đó xảy ra.
KHÔNG. họ chỉ có thể đưa ra một vé nếu họ thấy điều đó xảy ra.,họ không tin chúng tôi?
có lẽ lần sau chúng ta nên bấm còi.,chúng tôi không làm gì cả
người lái xe sẽ bấm còi lại với chúng tôi.,có lẽ lần sau chúng ta nên bấm còi.
tại sao bạn không rửa nó?,xe của tôi bị bẩn.
đó là những gì tôi sẽ làm,tại sao bạn không rửa nó?
bạn định tự giặt à?,đó là những gì tôi sẽ làm
tất nhiên rồi. nó không phải là một công việc khó khăn,bạn định tự giặt à?
tôi sẽ giúp bạn.,tất nhiên rồi. nó không phải là một công việc khó khăn
sau đó chúng ta có thể chà nó bằng miếng bọt biển ướt và xà phòng.,tôi sẽ rửa xe trước.
và bạn tiết kiệm được 10 USD.,sau đó nó sẽ trông như mới
giấy bay khắp nơi.,chắc chắn hôm nay trời nhiều gió.
gió này nguy hiểm cho người lái xe.,giấy bay khắp nơi.
đặc biệt là đối với người lái xe tải lớn.,gió này nguy hiểm cho người lái xe.
gió thổi bay những chiếc xe tải đó.,đặc biệt là đối với người lái xe tải lớn.
có thiệt hại nhiều không?,một cái cây đổ đè lên xe của bố tôi.
bố tôi phải mua một chiếc ô tô mới.,có thiệt hại nhiều không?
Ồ! điều đó thật khủng khiếp.,bố tôi phải mua một chiếc ô tô mới.
